date,open,high,low,close,adj_close,volume,ets,number_date,symb,secteur
2020-02-25,41.43,42.13,39.74,42,41.74,117799191,Iflytek,21,002230.SZ,technologie
2020-02-24,41.99,43.19,41.35,42.4,42.14,115410150,Iflytek,21,002230.SZ,technologie
2020-02-21,39.05,42.22,39.05,41.34,41.08,143469143,Iflytek,21,002230.SZ,technologie
2020-02-20,38.88,39.27,38.15,39.01,38.77,61613714,Iflytek,21,002230.SZ,technologie
2020-02-19,39.71,39.71,38.62,38.66,38.42,84477867,Iflytek,21,002230.SZ,technologie
2020-02-18,39.71,40.52,39.13,40.05,39.8,97061812,Iflytek,21,002230.SZ,technologie
2020-03-17,8.65,8.68,8.25,8.5,8.45,27173948,Tsinghua tongfang,21,600100.SS,technologie
2020-03-16,9,9.01,8.4,8.48,8.43,38338998,Tsinghua tongfang,21,600100.SS,technologie
2020-03-13,8.6,9.07,8.55,8.91,8.86,36412702,Tsinghua tongfang,21,600100.SS,technologie
2020-03-12,8.77,9.1,8.73,9.03,8.98,39102839,Tsinghua tongfang,21,600100.SS,technologie
2020-03-11,9.14,9.25,8.9,8.91,8.86,37978959,Tsinghua tongfang,21,600100.SS,technologie
2020-03-10,8.71,9.14,8.71,9.13,9.08,49805279,Tsinghua tongfang,21,600100.SS,technologie
2020-03-09,9.01,9.08,8.78,8.79,8.74,60229101,Tsinghua tongfang,21,600100.SS,technologie
2020-03-06,9.4,9.4,9.21,9.26,9.2,45971729,Tsinghua tongfang,21,600100.SS,technologie
2020-03-05,9.55,9.62,9.35,9.51,9.45,51201516,Tsinghua tongfang,21,600100.SS,technologie
2020-03-04,9.3,9.46,9.13,9.41,9.35,43989930,Tsinghua tongfang,21,600100.SS,technologie
2020-03-03,9.35,9.75,9.28,9.39,9.33,65227276,Tsinghua tongfang,21,600100.SS,technologie
2020-03-02,9.06,9.35,8.98,9.28,9.22,54145577,Tsinghua tongfang,21,600100.SS,technologie
2020-02-28,9.36,9.48,8.92,8.98,8.93,74160790,Tsinghua tongfang,21,600100.SS,technologie
2020-02-27,9.75,9.83,9.48,9.72,9.66,53517995,Tsinghua tongfang,21,600100.SS,technologie
2020-02-26,9.93,9.99,9.65,9.68,9.62,84277073,Tsinghua tongfang,21,600100.SS,technologie
2020-02-25,10.11,10.28,9.63,10.16,10.1,136905773,Tsinghua tongfang,21,600100.SS,technologie
2020-02-24,9.99,10.65,9.91,10.42,10.36,117972455,Tsinghua tongfang,21,600100.SS,technologie
2020-02-21,9.48,10.14,9.45,10.02,9.96,110448473,Tsinghua tongfang,21,600100.SS,technologie
2020-02-20,9.47,9.57,9.28,9.51,9.45,67705491,Tsinghua tongfang,21,600100.SS,technologie
2020-02-19,9.71,9.78,9.42,9.48,9.42,66146430,Tsinghua tongfang,21,600100.SS,technologie
2020-02-18,9.65,9.84,9.5,9.78,9.72,78169401,Tsinghua tongfang,21,600100.SS,technologie
2020-03-17,6.65,7.01,6.51,6.86,6.61,528400,Panasonic,21,PCRFY,technologie
2020-03-16,7.03,7.03,6.42,6.8,6.56,417700,Panasonic,21,PCRFY,technologie
2020-03-13,7.31,7.8,7.25,7.57,7.3,472400,Panasonic,21,PCRFY,technologie
2020-03-12,8.03,8.03,7.13,7.34,7.08,437300,Panasonic,21,PCRFY,technologie
2020-03-11,8.14,8.5,8.14,8.32,8.02,307300,Panasonic,21,PCRFY,technologie
2020-03-10,8.86,8.86,8.14,8.56,8.25,344800,Panasonic,21,PCRFY,technologie
2020-03-09,8.56,8.56,8.2,8.28,7.98,307100,Panasonic,21,PCRFY,technologie
2020-03-06,9.06,9.24,9.02,9.08,8.76,159200,Panasonic,21,PCRFY,technologie
2020-03-05,9.08,9.45,9.08,9.28,8.95,242500,Panasonic,21,PCRFY,technologie
2020-03-04,9.45,9.69,9.45,9.66,9.31,301200,Panasonic,21,PCRFY,technologie
2020-03-03,9.09,9.65,9.09,9.4,9.06,372500,Panasonic,21,PCRFY,technologie
2020-03-02,9.29,9.99,9.29,9.66,9.31,225400,Panasonic,21,PCRFY,technologie
2020-02-28,9.1,9.41,9.1,9.4,9.06,441100,Panasonic,21,PCRFY,technologie
2020-02-27,9.82,9.82,9.58,9.58,9.24,301200,Panasonic,21,PCRFY,technologie
2020-02-26,9.93,10.23,9.93,10.15,9.79,292700,Panasonic,21,PCRFY,technologie
2020-02-25,10.22,10.29,10.01,10.05,9.69,282400,Panasonic,21,PCRFY,technologie
2020-02-24,10.46,10.46,10.1,10.18,9.82,343500,Panasonic,21,PCRFY,technologie
2020-02-21,10.42,10.85,10.42,10.68,10.3,173400,Panasonic,21,PCRFY,technologie
2020-02-20,10.86,10.86,10.44,10.71,10.33,196700,Panasonic,21,PCRFY,technologie
2020-02-19,10.55,10.97,10.55,10.87,10.48,215700,Panasonic,21,PCRFY,technologie
2020-02-18,10.93,10.93,10.75,10.78,10.39,219400,Panasonic,21,PCRFY,technologie
2020-03-17,72.12,78.23,64.28,73.51,71.49,1823700,Polo ralph lauren,21,RL,textile
2020-03-16,70.28,75.32,66.73,71.6,69.64,1593900,Polo ralph lauren,21,RL,textile
2020-03-13,82.6,84.99,76.65,83.67,81.38,1549000,Polo ralph lauren,21,RL,textile
2020-03-12,84.82,87.44,77.84,79.67,77.49,1801600,Polo ralph lauren,21,RL,textile
2020-03-11,96.09,96.09,90.18,90.67,88.18,1228200,Polo ralph lauren,21,RL,textile
2020-03-10,99.28,99.45,92.62,98.91,96.2,981800,Polo ralph lauren,21,RL,textile
2020-03-09,99,101.13,93.91,94.99,92.39,1917300,Polo ralph lauren,21,RL,textile
2020-03-06,105.19,106.14,104.03,105.77,102.87,2192400,Polo ralph lauren,21,RL,textile
2020-03-05,107.26,109.58,106.28,108.19,105.22,1585400,Polo ralph lauren,21,RL,textile
2020-03-04,108.09,110.82,106.61,110.54,107.51,1875900,Polo ralph lauren,21,RL,textile
2020-03-03,107.95,111.64,104.63,106.43,103.51,3347000,Polo ralph lauren,21,RL,textile
2020-03-02,105.71,107.61,103.96,107.61,104.66,1555600,Polo ralph lauren,21,RL,textile
2020-02-28,98.04,105.52,98.04,105.51,102.62,1679600,Polo ralph lauren,21,RL,textile
2020-02-27,98.64,104.53,97.22,101.61,98.82,2105900,Polo ralph lauren,21,RL,textile
2020-02-26,103.61,105.51,101.4,101.58,98.79,1524100,Polo ralph lauren,21,RL,textile
2020-02-25,111.13,111.13,102.09,102.76,99.94,1526500,Polo ralph lauren,21,RL,textile
2020-02-24,110,110.98,108.41,109.61,106.6,1429100,Polo ralph lauren,21,RL,textile
2020-02-21,120.63,121.2,116.8,117.46,114.24,914400,Polo ralph lauren,21,RL,textile
2020-02-20,119.47,121.9,118.9,121.86,118.52,824700,Polo ralph lauren,21,RL,textile
2020-02-19,120.94,121.36,119.06,119.8,116.51,856500,Polo ralph lauren,21,RL,textile
2020-02-18,121.08,122.58,120.6,120.61,117.3,956700,Polo ralph lauren,21,RL,textile
2020-03-18,47750,48350,45600,45600,45600,40152623,Samsung,22,005930.KS,technologie
2020-03-17,46900,49650,46700,47300,47300,51218151,Samsung,22,005930.KS,technologie
2020-03-16,50100,50900,48800,48900,48900,33339821,Samsung,22,005930.KS,technologie
2020-03-13,47450,51600,46850,49950,49950,59462933,Samsung,22,005930.KS,technologie
2020-03-12,52100,52100,52100,52100,52100,,Samsung,22,005930.KS,technologie
2020-03-11,54300,54400,52000,52100,52100,45707281,Samsung,22,005930.KS,technologie
